vzorek;RPB2;Eif3E;pocet_fazi;polyploidie
b_TNB8_064;2;3;3;3
c_MDKH2_074;1;3;3;3
c_MDKH8_075;1;1;3;3
c_PJS1_180;2;3;3;3
c_PJS2_181;2;3;3;3
c_RHSK1_182;1;2;2;3
deg_UMA1_111;2;1;2;2
e_OLS17_013;2;3;3;3
e_OLS3_126;1;3;3;3
las_PLSK1_168;1;2;2;2
lyc_OLS1_183;1;1;2;2
n_BDJKH2_105;1;1;3;2
n_BDJKH5_166;1;2;2;4
n_BDJKH8_106;1;2;4;4
n_BDZKH2_023;2;2;2;4
n_BDZKH5_128;2;3;4;4
n_BDZKH8_024;2;2;3;4
n_BHA1_067;1;2;4;4
n_BHD3_145;2;2;4;4
n_BKO2_053;1;2;4;4
n_BKO22_138;2;1;4;4
n_BKO31_139;1;2;3;4
n_BKO5_054;1;2;4;4
n_BKO5_055;2;3;4;4
n_BLS2_089;1;1;1;4
n_BLS5_154;2;3;4;4
n_BNFA2_032;1;3;3;4
n_BNFA5_131;1;3;4;4
n_BNFA8_033;2;3;4;4
n_BOJ2_050;2;3;3;4
n_BOJ5_136;2;2;2;4
n_BOJ8_051;1;2;4;4
n_BOO1_052;1;2;3;4
n_BRS2_099;2;3;4;4
n_BRS5_163;1;2;2;4
n_BRS8_100;1;2;4;4
n_CHA1_073;1;3;4;4
n_CHA2_107;2;2;4;4
n_CHA3_108;1;2;3;4
n_CHA4_110;1;2;2;4
n_CKS2_097;1;2;2;4
n_CKS5_151;1;2;2;4
n_CKS7_098;1;3;3;4
n_CLB2_060;1;2;3;4
n_CLB5_142;2;3;3;4
n_CLB8_061;1;3;3;4
n_CLS2_095;1;2;2;4
n_CLS5_096;1;2;3;4
n_DBS3_007;2;2;3;4
n_DBS5_164;1;2;2;4
n_DBS8_008;1;2;2;4
n_DED5_129;2;2;3;4
n_DEU2_025;1;2;3;4
n_DEU8_026;2;2;2;4
n_DPK10_038;1;2;3;4
n_DPK1_037;2;3;4;4
n_DPK5_133;2;3;3;4
n_DSO1_113;1;2;2;4
n_FRS2_087;1;3;4;4
n_FRS5_161;2;3;3;4
n_FRS8_088;1;2;4;4
n_HPSK1_174;1;4;4;4
n_HPSK2_175;1;3;4;4
n_JIZ2_018;1;3;3;4
n_JIZ5_160;1;2;4;4
n_JIZ7_019;2;3;3;4
n_KKS2_103;1;2;4;4
n_KKS5_167;1;2;4;4
n_KKS8_104;1;2;4;4
n_KPJ1_043;2;2;4;4
n_KPS2_091;1;2;3;4
n_KPS5_158;1;2;4;4
n_KPS8_092;1;2;2;4
n_KVIS2_001;1;2;2;4
n_KVIS8_002;2;3;3;4
n_KVS5_155;1;3;4;4
n_LBK10_042;1;2;4;4
n_LBK1_041;2;3;3;4
n_LBK5_159;2;3;3;4
n_LNSA2_034;2;1;2;4
n_LNSA5_132;2;3;4;4
n_LNSA8_035;2;3;3;4
n_LSA5_130;2;2;4;4
n_LSRA2_027;1;3;4;4
n_LSRA8_028;2;2;2;4
n_LZS1_116;2;3;3;4
n_LZS4_152;1;2;2;4
n_LZS8_117;1;2;3;4
n_MDS2_003;1;2;2;4
n_MDS5_156;2;2;2;4
n_MDS8_004;1;2;2;4
n_MFSK1_022;1;3;3;4
n_MJS1_149;1;1;3;4
n_MJS2_081;1;2;4;4
n_MKJ10_046;1;2;2;4
n_MKJ1_044;1;2;4;4
n_MKJ5_045;1;2;2;4
n_PPSK4_177;1;1;3;4
